EF_Scale,longitude,latitude,altitude
EF3,-86.64498,36.18373,4.999999999999999
EF3,-86.64570000000001,36.18361,4.999999999999999
EF3,-86.64574,36.18379,4.999999999999999
EF3,-86.64579000000001,36.18374,4.999999999999999
EF3,-86.64584000000001,36.18377,4.999999999999999
EF3,-86.64585,36.18383,4.999999999999999
EF3,-86.64589285,36.18380923,4.999999999999999
EF3,-86.64594137,36.18384702,4.999999999999999
EF2,-86.64655000000001,36.18377,4
EF2,-86.64655999999999,36.18386,4
EF1,-86.64661,36.18554,3
EF2,-86.64718000000001,36.18363,4
EF2,-86.64823,36.18343,4
EF1,-86.64832,36.18096,3
EF2,-86.64854,36.18353,4
EF2,-86.64884000000001,36.18366,4
EF2,-86.6490361,36.18402206,4
EF3,-86.6491,36.18347,4.999999999999999
EF3,-86.64916,36.18355,4.999999999999999
EF3,-86.64924000000001,36.18349,4.999999999999999
EF2,-86.64941,36.18396,4
EF3,-86.64995507,36.18350239,4.999999999999999
EF3,-86.65003,36.18321,4.999999999999999
EF3,-86.65016,36.18352,4.999999999999999
EF3,-86.6502,36.18375,4.999999999999999
EF3,-86.65024,36.18394,4.999999999999999
EF3,-86.65048,36.18434,4.999999999999999
EF1,-86.6532,36.18104,3
EF1,-86.65837000000001,36.18279,3
EF1,-86.65971,36.18198,3
EF1,-86.65975,36.1813,3
EF1,-86.66362,36.17839,3
EF1,-86.66378,36.17996,3
EF2,-86.66853,36.17994,4
EF1,-86.67092,36.17996,3
EF1,-86.67111,36.17907,3
EF1,-86.67272,36.17849,3
EF1,-86.67386999999999,36.17925,3
EF1,-86.67574999999999,36.18005,3
EF2,-86.6764,36.17955,4
EF2,-86.67708,36.17782,4
EF2,-86.67734,36.179,4
EF2,-86.67777,36.17873,4
EF1,-86.67849,36.17726,3
EF2,-86.67913,36.17839,4
EF1,-86.67995000000001,36.17795,3
EF1,-86.68358000000001,36.17887,3
EF1,-86.68427,36.17851,3
EF1,-86.68774999999999,36.17939,3
EF1,-86.69043000000001,36.1767,3
EF1,-86.69112,36.17767,3
EF1,-86.69293,36.17876,3
EF1,-86.69314,36.17794,3
EF1,-86.69571000000001,36.17717,3
EF1,-86.70116,36.17699,3
EF1,-86.70289,36.1754,3
EF1,-86.70963999999999,36.17589,3
EF1,-86.71276,36.17453,3
EF1,-86.71599999999999,36.17545,3
EF2,-86.71739,36.17516,4
EF2,-86.71836,36.17533,4
EF2,-86.71905,36.17498,4
EF2,-86.7205,36.17452,4
EF2,-86.72287,36.17555,4
EF1,-86.72301,36.17681,3
EF1,-86.72481000000001,36.17382,3
EF1,-86.72530999999999,36.17539,3
EF1,-86.72635,36.17279,3
EF1,-86.72905,36.17441,3
EF1,-86.73315,36.17576,3
EF2,-86.73621,36.17512,4
EF2,-86.73663000000001,36.17407,4
EF2,-86.73745,36.17481,4
EF1,-86.73791,36.17311,3
EF1,-86.73882999999999,36.17492,3
EF1,-86.73936999999999,36.17496,3
EF1,-86.74188316,36.17551805,3
EF1,-86.74218000000001,36.1736,3
EF2,-86.74333,36.17534,4
EF1,-86.74364,36.17536,3
EF1,-86.74512,36.17598,3
EF1,-86.74587,36.1739,3
EF1,-86.74695,36.17636,3
EF3,-86.74745,36.1755,4.999999999999999
EF1,-86.74760000000001,36.17527,3
EF3,-86.74763,36.17571,4.999999999999999
EF3,-86.74905,36.17555,4.999999999999999
EF2,-86.74982,36.17588,4
EF2,-86.74999,36.17569,4
EF3,-86.7505,36.1759,4.999999999999999
EF3,-86.75052,36.17627,4.999999999999999
EF3,-86.75081,36.17653,4.999999999999999
EF2,-86.75097,36.17602,4
EF3,-86.75108,36.1766,4.999999999999999
EF2,-86.75127999999999,36.17605,4
EF1,-86.7517,36.17704,3
EF2,-86.75171,36.17659,4
EF1,-86.75188,36.17765,3
EF2,-86.75202,36.17649,4
EF2,-86.7522,36.17692,4
EF1,-86.75241,36.17743,3
EF1,-86.75244000000001,36.17682,3
EF1,-86.7527,36.17732,3
EF1,-86.75287,36.17664,3
EF2,-86.7531,36.17705,4
EF1,-86.75314,36.17789,3
EF2,-86.75323,36.17648,4
EF1,-86.75333000000001,36.17771,3
EF1,-86.75354,36.17629,3
EF1,-86.75372,36.17576,3
EF2,-86.75373999999999,36.17679,4
EF2,-86.75382999999999,36.1762,4
EF2,-86.75400999999999,36.17743,4
